Project,Address,Area,Price,Size,PSF,Bedrooms,Bathrooms,Tenure,TOP,Developer,Total Units,URL,Nearest MRT
,,,"1,575,000","1,001","1,573",3,2,Freehold,2007.0,Eastwood Park Pte Ltd,44.0,https://www.propertyguru.com.sg/listing/for-sale-deng-fu-ville-60215864?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,
Oasis Garden,51 Jalan Bunga Rampai,D19,"1,688,888",947,"1,783",2,2,Freehold,2012.0,Kheng Leong Co (Pte) Ltd,134.0,https://www.propertyguru.com.sg/listing/for-sale-oasis-garden-25607511?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Bartley Mrt
Evania,391 Upper Paya Lebar Road,D19,"1,960,000","1,227","1,597",3,3,Freehold,2012.0,Novelty Amber Pte Ltd,35.0,https://www.propertyguru.com.sg/listing/for-sale-evania-60174529?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Serangoon Mrt
Fragrant Gardens,357 Upper Paya Lebar Road,D19,"1,800,000","1,206","1,493",3,2,Freehold,1993.0,Novo Investments Pte Ltd,38.0,https://www.propertyguru.com.sg/listing/for-sale-fragrant-gardens-500039869?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Bartley Mrt
Oasis Garden,51 Jalan Bunga Rampai,D19,"2,250,000","1,216","1,850",3,2,Freehold,2012.0,Kheng Leong Co (Pte) Ltd,134.0,https://www.propertyguru.com.sg/listing/for-sale-oasis-garden-60142745?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Bartley Mrt
Evania,389 Upper Paya Lebar Road,D19,"1,499,000",936,"1,601",2,2,Freehold,2012.0,Novelty Amber Pte Ltd,35.0,https://www.propertyguru.com.sg/listing/for-sale-evania-25045848?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Serangoon Mrt
Vacanza East,,D14,"1,738,000","1,023","1,699",3,2,Freehold,2014.0,Hoi Hup Sunway Property Pte Ltd,473.0,https://www.propertyguru.com.sg/listing/for-sale-vacanza-east-500054716?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Kembangan Mrt
Escada View,,D14,"1,500,000","1,206","1,244",3,3,Freehold,1997.0,Escada Development Pte Ltd,80.0,https://www.propertyguru.com.sg/listing/for-sale-escada-view-25558428?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Kembangan Mrt
E Maisons The Maisons,32 Braddell Road,D13,"1,598,000",936,"1,707",2,2,Freehold,2016.0,Global Star Development Pte Ltd,130.0,https://www.propertyguru.com.sg/listing/for-sale-e-maisons-the-maisons-60172269?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Woodleigh Mrt
Residences Botanique,30 32 Yio Chu Kang Road,D19,"1,638,888",969,"1,691",2,2,Freehold,2013.0,,81.0,https://www.propertyguru.com.sg/listing/for-sale-residences-botanique-500075125?utm_source=pg&utm_medium=organic&utm_campaign=sg-pg-site-share-other-na-disih-clink,Serangoon Mrt
